Ticker;Position;Entry Date;Avg. Price;Exit Date;Exit Price;PnL %;Portfolio Exposure;Source;Position High;Position Low;Drawdown;Run Up
ANET;SHORT;23.01.2025;$110.00;28.01.2025;$107.00;2.73%;20.92%;Alen;$133.57;$97.68;-21.43%;11.20%
CEG;SHORT;24.01.2025;$346.00;28.01.2025;$292.00;15.61%;6.39%;Alen;$350.00;$259.09;-1.16%;25.12%
AAPL;LONG;17.01.2025;$225.57;29.01.2025;$239.81;6.32%;6.94%;Alen;$240.19;$219.38;-2.74%;6.48%
COIN;LONG;01.11.2024;$180.00;30.01.2025;$230.00;27.78%;2.77%;Alen;$349.75;$176.38;-2.01%;94.31%
NVDA;LONG;03.02.2025;$125.36;07.02.2025;$127.83;1.97%;19.29%;Alen;$130.37;$113.01;-9.85%;4.00%
WOLF;LONG;14.02.2025;$5.40;19.02.2025;$6.34;17.41%;1.66%;Alen;$7.22;$5.89;9.07%;33.70%
SMCI;LONG;20.02.2025;$59.09;20.02.2025;$65.09;10.15%;4.55%;Alen;$62.47;$54.30;-8.11%;5.72%
CELH;LONG;30.01.2025;$24.00;21.02.2025;$33.66;40.25%;9.55%;Alen;$34.44;$21.10;-12.08%;43.50%
RCL;SHORT;31.01.2025;$241.30;21.02.2025;$269.64;-11.74%;7.42%;Alen;$277.08;$230.82;-14.83%;4.34%
RDDT;SHORT;03.02.2025;$176.00;21.02.2025;$202.28;-14.93%;2.71%;Alen;$230.41;$161.88;-30.91%;8.02%
NKE;LONG;25.05.2024;$75.87;24.02.2025;$80.31;5.85%;1.75%;Alen;$98.04;$68.62;-9.56%;29.22%
META;SHORT;10.02.2025;$718.56;24.02.2025;$680.00;5.37%;5.53%;Alen;$740.91;$662.45;-3.11%;7.81%
PLTR;SHORT;05.02.2025;$92.11;25.02.2025;$105.67;-14.72%;1.42%;Alen;$125.41;$85.25;-36.15%;7.45%
JPM;SHORT;06.02.2025;$273.67;25.02.2025;$257.38;5.95%;4.21%;Alen;$280.25;$253.35;-2.40%;7.43%
OKLO;LONG;26.02.2025;$31.20;27.02.2025;$36.20;16.03%;4.80%;Alen;$38.68;$32.31;3.56%;23.97%
HCI;LONG;02.12.2024;$121.50;03.03.2025;$136.00;11.93%;1.87%;Alen;$140.72;$106.89;-12.02%;15.82%
SMCI;LONG;04.03.2025;$37.25;05.03.2025;$38.60;3.62%;6.30%;Alen;$40.90;$34.51;-7.36%;9.80%
CVX;LONG;18.06.2024;$146.00;07.03.2025;$157.00;7.53%;5.62%;Alen;$164.68;$135.37;-7.28%;12.79%
MA;SHORT;30.01.2025;$570.65;10.03.2025;$535.57;6.15%;1.76%;Alen;$582.23;$532.02;-2.03%;6.77%
WOLF;LONG;27.02.2025;$5.66;10.03.2025;$5.94;4.95%;2.61%;Alen;$6.63;$4.76;-15.90%;17.14%
CELH;LONG;03.03.2025;$26.56;10.03.2025;$28.55;7.49%;2.04%;Alen;$29.29;$24.04;-9.49%;10.28%
BIIB;LONG;13.02.2025;$132.01;11.03.2025;$155.02;17.43%;2.03%;Alen;$157.09;$132.15;0.11%;19.00%
ADM;LONG;24.02.2025;$48.20;11.03.2025;$51.12;6.06%;7.42%;Alen;$52.36;$45.31;-5.99%;8.63%
BEN;LONG;03.03.2025;$20.17;11.03.2025;$20.35;0.89%;3.10%;Alen;$20.60;$19.06;-5.50%;2.13%
RDDT;LONG;11.03.2025;$115.59;13.03.2025;$134.00;15.93%;3.56%;Alen;$136.47;$110.00;-4.84%;18.06%
WRD;LONG;05.03.2025;$17.77;18.03.2025;$19.68;10.75%;2.73%;Alen;$20.50;$15.37;-13.51%;15.36%
JPM;LONG;13.03.2025;$225.72;19.03.2025;$240.16;6.40%;3.47%;Alen;$242.33;$224.23;-0.66%;7.36%
CEG;LONG;06.03.2025;$200.00;20.03.2025;$220.00;10.00%;4.69%;Alen;$224.33;$195.56;-2.22%;12.17%
CVNA;LONG;07.03.2025;$172.04;20.03.2025;$192.45;11.86%;5.29%;Alen;$196.63;$161.64;-6.05%;14.29%
TSLA;LONG;05.03.2025;$241.52;24.03.2025;$265.00;9.72%;20.44%;Alen;$279.55;$217.02;-10.14%;15.75%
CAVA;LONG;10.03.2025;$82.89;24.03.2025;$88.61;6.90%;3.83%;Alen;$90.49;$73.91;-10.83%;9.17%
WOLF;LONG;28.03.2025;$2.67;31.03.2025;$2.93;9.74%;4.11%;Alen;$3.52;$2.41;-9.74%;31.84%
SIG;LONG;15.01.2025;$58.00;02.04.2025;$60.67;4.60%;4.46%;Alen;$61.91;$45.55;-21.47%;6.74%
UAL;LONG;01.04.2025;$65.66;02.04.2025;$71.03;8.18%;4.04%;Alen;$71.43;$64.69;-1.48%;8.79%
CVNA;SHORT;24.03.2025;$209.69;03.04.2025;$184.90;11.82%;3.23%;Alen;$230.76;$177.22;-10.05%;15.48%
HOOD;LONG;07.04.2025;$30.80;07.04.2025;$33.50;8.77%;0.95%;Alen;$37.11;$29.66;-3.70%;20.49%
APP;LONG;07.04.2025;$203.98;07.04.2025;$228.91;12.22%;1.57%;Alen;$253.61;$200.50;-1.71%;24.33%
PLTR;LONG;07.04.2025;$66.60;07.04.2025;$77.00;15.62%;1.02%;Alen;$81.80;$66.12;-0.72%;22.82%
AVGO;LONG;27.03.2025;$163.16;08.04.2025;$168.76;3.43%;7.28%;Alen;$178.38;$138.10;-15.36%;9.33%
CEG;LONG;04.04.2025;$168.19;08.04.2025;$190.00;12.97%;1.29%;Alen;$193.30;$161.35;-4.07%;14.93%
APP;LONG;07.04.2025;$203.00;08.04.2025;$228.00;12.32%;1.56%;Alen;$261.61;$200.50;-1.23%;28.87%
DECK;LONG;05.02.2025;$102.29;09.04.2025;$113.00;10.47%;25.18%;Alen;$177.64;$93.72;-8.38%;73.66%
CLF;LONG;11.03.2025;$8.00;09.04.2025;$8.12;1.50%;5.05%;Alen;$10.53;$6.17;-22.88%;31.63%
GOOGL;LONG;31.03.2025;$141.34;09.04.2025;$155.51;10.03%;2.17%;Alen;$159.55;$140.53;-0.57%;12.88%
UAL;LONG;03.04.2025;$60.79;09.04.2025;$66.07;8.69%;6.55%;Alen;$72.47;$52.00;-14.46%;19.21%
CRM;LONG;04.04.2025;$242.16;09.04.2025;$262.77;8.51%;1.86%;Alen;$268.17;$230.00;-5.02%;10.74%
RDDT;LONG;04.04.2025;$91.70;09.04.2025;$103.20;12.54%;1.41%;Alen;$113.90;$79.75;-13.03%;24.21%
JPM;LONG;04.04.2025;$211.81;09.04.2025;$233.00;10.00%;3.26%;Alen;$237.48;$202.16;-4.56%;12.12%
MU;LONG;04.04.2025;$72.10;09.04.2025;$77.50;7.49%;7.21%;Alen;$78.56;$61.54;-14.65%;8.96%
GS;LONG;07.04.2025;$451.58;09.04.2025;$497.51;10.17%;2.78%;Alen;$522.00;$439.38;-2.70%;15.59%
